# energy grid [eV]     JDOS [1/eV]
#
    5.825825826    0.012874166
    5.840840841    0.012869668
    5.855855856    0.012866511
    5.870870871    0.012863516
    5.885885886    0.012859101
    5.900900901    0.012851467
    5.915915916    0.012838731
    5.930930931    0.012819057
    5.945945946    0.012790838
    5.960960961    0.012752963
    5.975975976    0.012705127
    5.990990991    0.012648111
    6.006006006    0.012583948
    6.021021021    0.012515897
    6.036036036    0.012448192
    6.051051051    0.012385552
    6.066066066    0.012332522
    6.081081081    0.012292741
    6.096096096    0.012268315
    6.111111111    0.012259448
    6.126126126    0.012264475
    6.141141141    0.012280267
    6.156156156    0.012302925
    6.171171171    0.012328520
    6.186186186    0.012353685
    6.201201201    0.012375913
    6.216216216    0.012393535
    6.231231231    0.012405492
    6.246246246    0.012411049
    6.261261261    0.012409613
    6.276276276    0.012400721
    6.291291291    0.012384200
    6.306306306    0.012360393
    6.321321321    0.012330341
    6.336336336    0.012295793
    6.351351351    0.012259035
    6.366366366    0.012222570
    6.381381381    0.012188753
    6.396396396    0.012159527
    6.411411411    0.012136316
    6.426426426    0.012120088
    6.441441441    0.012111511
    6.456456456    0.012111067
    6.471471471    0.012119025
    6.486486486    0.012135230
    6.501501502    0.012158769
    6.516516517    0.012187647
    6.531531532    0.012218652
    6.546546547    0.012247542
    6.561561562    0.012269603
    6.576576577    0.012280504
    6.591591592    0.012277289
    6.606606607    0.012259257
    6.621621622    0.012228509
    6.636636637    0.012189974
    6.651651652    0.012150836
    6.666666667    0.012119378
    6.681681682    0.012103415
    6.696696697    0.012108604
    6.711711712    0.012136986
    6.726726727    0.012186150
    6.741741742    0.012249305
    6.756756757    0.012316362
    6.771771772    0.012375864
    6.786786787    0.012417377
    6.801801802    0.012433759
    6.816816817    0.012422732
    6.831831832    0.012387342
    6.846846847    0.012335165
    6.861861862    0.012276500
    6.876876877    0.012222038
    6.891891892    0.012180676
    6.906906907    0.012158032
    6.921921922    0.012156008
    6.936936937    0.012173366
    6.951951952    0.012206959
    6.966966967    0.012253081
    6.981981982    0.012308411
    6.996996997    0.012370238
    7.012012012    0.012436027
    7.027027027    0.012502641
    7.042042042    0.012565748
    7.057057057    0.012619834
    7.072072072    0.012659027
    7.087087087    0.012678540
    7.102102102    0.012676278
    7.117117117    0.012653992
    7.132132132    0.012617480
    7.147147147    0.012575647
    7.162162162    0.012538609
    7.177177177    0.012515365
    7.192192192    0.012511723
    7.207207207    0.012529097
    7.222222222    0.012564514
    7.237237237    0.012611814
    7.252252252    0.012663649
    7.267267267    0.012713681
    7.282282282    0.012758324
    7.297297297    0.012797556
    7.312312312    0.012834605
    7.327327327    0.012874682
    7.342342342    0.012923199
    7.357357357    0.012984038
    7.372372372    0.013058416
