# omega (eV)     <Re(Eps)>     <Im(Eps)>
8.88888889    -1.62110234    1.10264204
8.90390390    -1.61167931    1.10016313
8.91891892    -1.60141621    1.09726204
8.93393393    -1.59100523    1.09676266
8.94894895    -1.58345134    1.09880621
8.96396396    -1.58070233    1.10097003
8.97897898    -1.58245143    1.09938080
8.99399399    -1.58414857    1.09137643
9.00900901    -1.58103080    1.08054635
9.02402402    -1.57492285    1.07178315
9.03903904    -1.56920615    1.06473327
9.05405405    -1.56425315    1.05817149
9.06906907    -1.56087455    1.05168313
9.08408408    -1.55931472    1.04304822
9.09909910    -1.55713167    1.03071815
9.11411411    -1.55148954    1.01580585
9.12912913    -1.54122925    1.00142686
9.14414414    -1.52834041    0.99034551
9.15915916    -1.51526178    0.98240191
9.17417417    -1.50310437    0.97714651
9.18918919    -1.49365853    0.97347597
9.20420420    -1.48686040    0.96829017
9.21921922    -1.47943193    0.96023023
9.23423423    -1.46863917    0.95199768
9.24924925    -1.45613315    0.94728173
9.26426426    -1.44556958    0.94583834
9.27927928    -1.43798428    0.94535475
9.29429429    -1.43318610    0.94454550
9.30930931    -1.43111745    0.94197384
9.32432432    -1.43030769    0.93570148
9.33933934    -1.42748345    0.92562544
9.35435435    -1.42040808    0.91469273
9.36936937    -1.41019146    0.90654724
9.38438438    -1.40039333    0.90243620
9.39939940    -1.39405505    0.90032817
9.41441441    -1.39142561    0.89672881
9.42942943    -1.39014725    0.88929076
9.44444444    -1.38678491    0.87816175
9.45945946    -1.37929707    0.86650180
9.47447447    -1.36961210    0.85751956
9.48948949    -1.36081086    0.85062882
9.50450450    -1.35319539    0.84363193
9.51951952    -1.34549028    0.83579499
9.53453454    -1.33673801    0.82763489
9.54954955    -1.32668739    0.82015646
9.56456456    -1.31590493    0.81434879
9.57957958    -1.30568480    0.81074006
9.59459460    -1.29785218    0.80854126
9.60960961    -1.29277986    0.80530900
9.62462462    -1.28873866    0.79959715
9.63963964    -1.28410385    0.79121103
9.65465465    -1.27649364    0.78075627
9.66966967    -1.26464796    0.77183992
9.68468469    -1.25167027    0.76760820
9.69969970    -1.24167598    0.76707139
9.71471471    -1.23641324    0.76669119
9.72972973    -1.23444176    0.76272114
9.74474475    -1.23173477    0.75383224
9.75975976    -1.22489749    0.74262707
9.77477477    -1.21443562    0.73278533
9.78978979    -1.20258805    0.72518832
9.80480480    -1.19011195    0.71955523
9.81981982    -1.17778892    0.71643849
9.83483484    -1.16751237    0.71543653
9.84984985    -1.16009240    0.71437186
9.86486486    -1.15438905    0.71154933
