# omega (eV)     <Re(Eps)>     <Im(Eps)>
5.37537537    -2.42542199    6.58370539
5.39039039    -2.20734013    6.56953016
5.40540540    -1.98334826    6.60903247
5.42042042    -1.77055674    6.71410578
5.43543543    -1.60323556    6.88239572
5.45045045    -1.50892803    7.08140487
5.46546547    -1.48075259    7.26830367
5.48048048    -1.48781823    7.42695117
5.49549550    -1.51331466    7.56599910
5.51051051    -1.55769268    7.68711926
5.52552553    -1.61172466    7.77842109
5.54054054    -1.64740831    7.84347184
5.55555556    -1.64962203    7.91240234
5.57057057    -1.62899192    8.01642213
5.58558559    -1.61295130    8.17554130
5.60060060    -1.63718149    8.38868783
5.61561562    -1.72636187    8.64001721
5.63063063    -1.90679585    8.91360663
5.64564565    -2.21107845    9.16376529
5.66066066    -2.62819352    9.31089404
5.67567568    -3.08322657    9.30226790
5.69069069    -3.49209088    9.15474257
5.70570571    -3.81352922    8.92081438
5.72072072    -4.03888242    8.64886311
5.73573574    -4.17719701    8.38250817
5.75075075    -4.26328348    8.15225137
5.76576577    -4.33638028    7.94867203
5.78078078    -4.40046960    7.74520118
5.79579580    -4.44111795    7.53659324
5.81081081    -4.45139022    7.32949665
5.82582583    -4.42678379    7.13221368
5.84084084    -4.36714781    6.96078678
5.85585586    -4.28767181    6.83003583
5.87087087    -4.20723711    6.73927580
5.88588589    -4.13652636    6.68351777
5.90090090    -4.08842919    6.65841916
5.91591592    -4.07676243    6.64833332
5.93093093    -4.10011712    6.62801011
5.94594595    -4.13802491    6.58290453
5.96096096    -4.17205259    6.52029261
5.97597598    -4.20059910    6.45065713
5.99099099    -4.22369576    6.37590584
6.00600601    -4.23857499    6.30261739
6.02102102    -4.25441821    6.23965410
6.03603604    -4.28700391    6.17934583
6.05105105    -4.33701862    6.09966155
6.06606607    -4.38172169    5.98513349
6.08108108    -4.39248521    5.84988524
6.09609610    -4.36962802    5.72441638
6.11111111    -4.33354467    5.61664502
6.12612613    -4.28830061    5.51795699
6.14114114    -4.22810837    5.43457289
6.15615616    -4.16352230    5.37771864
6.17117117    -4.10895834    5.34361618
6.18618619    -4.07028152    5.32490446
6.20120120    -4.05393804    5.31518980
6.21621622    -4.06457060    5.29861761
6.23123123    -4.08839910    5.25661118
6.24624625    -4.10005917    5.19244828
6.26126126    -4.09217845    5.12838259
6.27627628    -4.07809730    5.07716945
6.29129129    -4.07032154    5.03495421
6.30630631    -4.07178924    4.99330868
6.32132132    -4.08005780    4.94747793
6.33633634    -4.09469433    4.89468199
6.35135135    -4.11212072    4.82719223
6.36636637    -4.11811848    4.74350490
6.38138138    -4.10411128    4.65820936
6.39639640    -4.07955594    4.58264837
6.41141141    -4.05243215    4.51305847
6.42642643    -4.02087374    4.44650202
6.44144144    -3.98384820    4.38634444
6.45645646    -3.94583155    4.33471324
6.47147147    -3.90966167    4.28831519
6.48648649    -3.87383685    4.24529343
6.50150150    -3.83689807    4.20641526
6.51651652    -3.79888380    4.17475452
6.53153153    -3.76358901    4.15227200
6.54654655    -3.73383221    4.13902288
6.56156156    -3.71619108    4.13703964
6.57657658    -3.72330860    4.13783750
6.59159159    -3.75414179    4.11986370
6.60660661    -3.78818396    4.07176381
6.62162162    -3.80702236    4.00348969
6.63663664    -3.80999120    3.92965753
6.65165165    -3.80235409    3.85304919
6.66666667    -3.78183489    3.77354212
6.68168168    -3.74611515    3.69674762
6.69669670    -3.69712735    3.62840245
6.71171171    -3.63849575    3.57260084
6.72672673    -3.57446604    3.53177305
6.74174174    -3.50958134    3.50824895
6.75675676    -3.45128600    3.50277137
6.77177177    -3.40677231    3.51138780
6.78678679    -3.38052953    3.52795209
6.80180180    -3.37505520    3.54544287
6.81681682    -3.39153736    3.55493305
6.83183183    -3.42565573    3.54397993
6.84684685    -3.46273277    3.50428335
6.86186186    -3.48619081    3.44062909
6.87687688    -3.48814656    3.36534850
6.89189189    -3.46900889    3.28986742
6.90690691    -3.43240187    3.22113439
