# omega (eV)     <Re(Eps)>     <Im(Eps)>
7.59759760    -3.27129639    3.14558932
7.61261261    -3.28751053    3.17827710
7.62762763    -3.32631119    3.19485733
7.64264264    -3.37892450    3.18283175
7.65765766    -3.42743858    3.13853642
7.67267267    -3.45774734    3.07087494
7.68768769    -3.46475712    2.99144651
7.70270270    -3.44736969    2.91070568
7.71771772    -3.41011510    2.84018970
7.73273273    -3.36527321    2.78349145
7.74774775    -3.31867266    2.73289242
7.76276276    -3.26487444    2.68426467
7.77777778    -3.19872992    2.64291309
7.79279279    -3.12150621    2.61789315
7.80780781    -3.04155745    2.61689151
7.82282282    -2.97223870    2.64123302
7.83783784    -2.92690081    2.68337788
7.85285285    -2.91227864    2.72715059
7.86786787    -2.92212874    2.75548829
7.88288288    -2.94147335    2.76068959
7.89789790    -2.95627891    2.74718940
7.91291291    -2.96256094    2.72512951
7.92792793    -2.96339092    2.69940930
7.94294294    -2.96055495    2.67038550
7.95795796    -2.95475431    2.63809102
7.97297297    -2.94649466    2.60048198
7.98798799    -2.93155369    2.55437083
8.00300300    -2.90159763    2.50264185
8.01801802    -2.85342663    2.45639651
8.03303303    -2.79508987    2.42453484
8.04804805    -2.73521950    2.40432784
8.06306306    -2.67231248    2.39218709
8.07807808    -2.60604084    2.39317189
8.09309309    -2.54406662    2.40949560
8.10810811    -2.49167575    2.43598365
8.12312312    -2.44840729    2.46864772
8.13813814    -2.41579048    2.50640553
8.15315315    -2.39521033    2.54267494
8.16816817    -2.37785157    2.57297225
8.18318318    -2.35696041    2.60721192
8.19819820    -2.34306303    2.65568488
8.21321321    -2.35145703    2.71091806
8.22822823    -2.38329118    2.75583583
8.24324324    -2.42737996    2.78007345
8.25825826    -2.47164440    2.78367584
8.27327327    -2.50774910    2.77093261
8.28828829    -2.52920375    2.75022172
8.30330330    -2.53773399    2.73405084
8.31831832    -2.54534652    2.72840409
8.33333333    -2.56288474    2.72509090
8.34834835    -2.58653676    2.71181329
8.36336336    -2.60536214    2.68801361
8.37837838    -2.61496189    2.66074713
8.39339339    -2.61698409    2.63636260
8.40840841    -2.61702119    2.61786765
8.42342342    -2.62015502    2.60248302
8.43843844    -2.62719789    2.58574076
8.45345345    -2.63635152    2.56341414
8.46846847    -2.64117066    2.53281894
8.48348348    -2.63334862    2.49978157
8.49849850    -2.61400418    2.47705343
8.51351351    -2.59608446    2.47114425
8.52852853    -2.59275994    2.47443069
8.54354354    -2.60500535    2.47207843
8.55855856    -2.62223207    2.45599546
8.57357357    -2.63476131    2.42969336
8.58858859    -2.64102987    2.39861175
8.60360360    -2.64001602    2.36415420
8.61861862    -2.62822907    2.33153212
8.63363363    -2.61055545    2.31025035
8.64864865    -2.59986952    2.29952800
8.66366366    -2.60086279    2.28719831
8.67867868    -2.60531300    2.26407412
8.69369369    -2.60188908    2.23294025
8.70870871    -2.58805883    2.20441022
8.72372372    -2.57117225    2.18513332
8.73873874    -2.56028291    2.17236400
8.75375375    -2.55705256    2.15637187
8.76876877    -2.55253796    2.13228603
8.78378378    -2.54015420    2.10702126
8.79879880    -2.52369880    2.08727946
8.81381381    -2.50827027    2.07286572
8.82882883    -2.49639760    2.06176564
8.84384384    -2.48956396    2.05095933
8.85885886    -2.48654256    2.03672509
8.87387387    -2.48388063    2.01788181
8.88888889    -2.47961773    1.99531097
8.90390390    -2.47151583    1.96913131
8.91891892    -2.45627176    1.94307693
8.93393393    -2.43659756    1.92319869
8.94894895    -2.41863238    1.90932944
8.96396396    -2.40443107    1.89821914
8.97897898    -2.39485206    1.88738159
8.99399399    -2.38913003    1.87318448
9.00900901    -2.38366101    1.85364405
9.02402402    -2.37470826    1.83017027
9.03903904    -2.36161134    1.80598795
9.05405405    -2.34558496    1.78174588
9.06906907    -2.32566097    1.75754432
9.08408408    -2.30139511    1.73498792
9.09909910    -2.27226402    1.71526141
9.11411411    -2.23760612    1.70234991
9.12912913    -2.20256405    1.70135091
9.14414414    -2.17545624    1.71025927
9.15915916    -2.15923538    1.72247744
9.17417417    -2.15315687    1.73334677
9.18918919    -2.15643731    1.73870487
9.20420420    -2.16538457    1.73327445
9.21921922    -2.17233486    1.71559562
9.23423423    -2.17126556    1.68980169
9.24924925    -2.16038832    1.66141439
9.26426426    -2.14057306    1.63507565
9.27927928    -2.11454824    1.61373273
9.29429429    -2.08478373    1.59787361
9.30930931    -2.05206918    1.58807395
9.32432432    -2.01803743    1.58618500
9.33933934    -1.98621664    1.59328196
9.35435435    -1.96105276    1.60797802
9.36936937    -1.94522984    1.62589139
9.38438438    -1.93792723    1.64289386
9.39939940    -1.93808531    1.65685209
9.41441441    -1.94484150    1.66434642
9.42942943    -1.95367697    1.66153844
9.44444444    -1.95714132    1.64906814
9.45945946    -1.94988580    1.63288435
9.47447447    -1.93133628    1.62169179
9.48948949    -1.90785787    1.62342721
9.50450450    -1.89041039    1.63883345
9.51951952    -1.88700345    1.66079431
9.53453454    -1.89905233    1.67894306
9.54954955    -1.92025201    1.68422447
9.56456456    -1.93933802    1.67581983
9.57957958    -1.95043239    1.66200706
9.59459460    -1.95774167    1.64952362
9.60960961    -1.96686073    1.63598218
9.62462462    -1.97561313    1.61573835
9.63963964    -1.97676224    1.58955809
9.65465465    -1.96759007    1.56531880
9.66966967    -1.95381264    1.54914250
9.68468469    -1.94239695    1.53899520
9.69969970    -1.93364889    1.52960287
9.71471471    -1.92419146    1.52084449
9.72972973    -1.91509507    1.51596472
9.74474475    -1.91095557    1.51398047
9.75975976    -1.91269990    1.50923547
9.77477477    -1.91511056    1.49871578
9.78978979    -1.91488269    1.48618744
9.80480480    -1.91482447    1.47321349
9.81981982    -1.91448484    1.45652759
9.83483484    -1.90927677    1.43675391
9.84984985    -1.89761300    1.41909647
9.86486486    -1.88327889    1.40839996
9.87987988    -1.87341694    1.40428507
9.89489490    -1.87149210    1.39969057
9.90990991    -1.87308423    1.38891315
9.92492492    -1.87306748    1.37245520
9.93993994    -1.86903763    1.35245705
9.95495495    -1.85965669    1.33146482
9.96996997    -1.84517614    1.31251534
9.98498499    -1.82772943    1.29780615
10.00000000    -1.80992867    1.28729930
10.01501501    -1.79272786    1.28000241
10.03003003    -1.77677303    1.27601797
10.04504505    -1.76414309    1.27484656
10.06006006    -1.75613794    1.27318012
10.07507508    -1.74946058    1.26776386
10.09009009    -1.73966204    1.26128452
10.10510510    -1.72877991    1.25900615
10.12012012    -1.72310800    1.25981208
10.13513514    -1.72313392    1.25636771
10.15015015    -1.72120492    1.24612131
10.16516516    -1.71289563    1.23600478
10.18018018    -1.70371406    1.23167806
10.19519520    -1.69978647    1.22947293
10.21021021    -1.69973136    1.22365523
10.22522523    -1.69923751    1.21315846
10.24024024    -1.69553726    1.19998215
10.25525525    -1.68826961    1.18702911
10.27027027    -1.67911687    1.17599061
10.28528529    -1.66970547    1.16660028
10.30030030    -1.66046905    1.15798462
10.31531531    -1.65093553    1.14949546
10.33033033    -1.63983820    1.14180967
10.34534535    -1.62795761    1.13749229
10.36036036    -1.61894264    1.13643704
10.37537538    -1.61381584    1.13526709
10.39039039    -1.61080286    1.13244443
10.40540540    -1.60905420    1.12820674
10.42042042    -1.60864749    1.12218216
10.43543544    -1.60882367    1.11328337
10.45045045    -1.60770248    1.10124948
10.46546546    -1.60352097    1.08748352
10.48048048    -1.59618527    1.07445159
10.49549550    -1.58787598    1.06366013
10.51051051    -1.58079373    1.05343958
10.52552553    -1.57360694    1.04121625
10.54054054    -1.56315099    1.02758920
10.55555556    -1.54832341    1.01611837
10.57057057    -1.53181796    1.00996839
10.58558559    -1.51767345    1.00881523
10.60060060    -1.50814701    1.00987112
10.61561562    -1.50304477    1.00982274
10.63063063    -1.50002677    1.00674035
10.64564565    -1.49666207    1.00106752
10.66066066    -1.49201860    0.99442505
10.67567568    -1.48663508    0.98814712
10.69069069    -1.48171441    0.98245212
10.70570571    -1.47801494    0.97650754
10.72072072    -1.47554622    0.96916797
10.73573574    -1.47347482    0.95899667
10.75075075    -1.46902250    0.94530275
10.76576577    -1.45929175    0.93093764
10.78078078    -1.44543691    0.92022291
10.79579580    -1.43128140    0.91450131
10.81081081    -1.41969922    0.91205196
10.82582583    -1.41116335    0.91048630
10.84084084    -1.40527777    0.90833135
10.85585586    -1.40085636    0.90389591
10.87087087    -1.39492193    0.89753333
10.88588589    -1.38703973    0.89277984
10.90090090    -1.38084838    0.89083328
10.91591592    -1.37830443    0.88855530
10.93093093    -1.37753498    0.88380941
10.94594595    -1.37735517    0.87709527
10.96096096    -1.37801804    0.86806994
10.97597598    -1.37865304    0.85532368
10.99099099    -1.37683447    0.83830749
11.00600601    -1.36978627    0.81835464
11.02102102    -1.35567702    0.79878859
11.03603604    -1.33543765    0.78417280
11.05105105    -1.31337302    0.77725134
11.06606607    -1.29400841    0.77681446
11.08108108    -1.27916741    0.77989075
11.09609610    -1.26891008    0.78445291
11.11111111    -1.26368353    0.78918029
11.12612613    -1.26401277    0.79133766
11.14114114    -1.26766266    0.78724705
11.15615616    -1.26951688    0.77606350
11.17117117    -1.26562098    0.76132469
11.18618619    -1.25632528    0.74788251
